업종,상호,지번주소
체력단련장업,찬스짐 PT,서울특별시 성동구 하왕십리동 946-15 성동빌딩 
체력단련장업,3GYM,서울특별시 성동구 성수동1가 656-945 
체력단련장업,와츠핏(What.s fit),서울특별시 성동구 금호동2가 494 동원빌딩 
체력단련장업,F45,서울특별시 성동구 성수동2가 314-5 S TOWER 
체력단련장업,굿타임 PT,서울특별시 성동구 마장동 773-3 제일은행 
체력단련장업,짐타운,서울특별시 성동구 성수동1가 656-25 
체력단련장업,리피티 재활PT 왕십리점,서울특별시 성동구 행당동 317-189
체력단련장업,동핏,서울특별시 성동구 금호동2가 449-1 
체력단련장업,프로 짐,서울특별시 성동구 홍익동 90 성종보습학원 
체력단련장업,더컨디셔닝,서울특별시 성동구 금호동2가 1215 금호자이1차 
체력단련장업,H GYM PT & GT 신금호4호점,서울특별시 성동구 금호동1가 125-1
체력단련장업,케이큐 라인 PT,서울특별시 성동구 성수동2가 300-65 현진빌딩 
체력단련장업,라이프짐,서울특별시 성동구 성수동2가 308-4 서울숲코오롱디지털타워 
체력단련장업,스튜디오에이,서울특별시 성동구 행당동 346 행당 한진타운 종합상가 
체력단련장업,휘트니스피플 우먼 왕십리역점,서울특별시 성동구 하왕십리동 966-14
체력단련장업,F45,서울특별시 성동구 도선동 257 
체력단련장업,리피티,서울특별시 성동구 하왕십리동 959-2
체력단련장업,바디텍쳐,서울특별시 성동구 하왕십리동 291-10 덕융빌딩 
체력단련장업,팰리스짐 프리미엄 한남,서울특별시 성동구 옥수동 191-3 강변벽산빌라트 
체력단련장업,짐타임 성수역점,서울특별시 성동구 성수동2가 289-10 제강빌딩 
체력단련장업,셀바디,서울특별시 성동구 도선동 256-5 
체력단련장업,하이퍼짐(HYPER GYM),서울특별시 성동구 하왕십리동 966-23 금용빌딩 
체력단련장업,바디101 헬스피티,서울특별시 성동구 성수동1가 13-266 서울숲 무지개
체력단련장업,HUTZ,서울특별시 성동구 도선동 285-1 위너스 오피스텔 B201호
체력단련장업,리커버리PT,서울특별시 성동구 마장동 774-2 복성빌딩 
체력단련장업,가미핏,서울특별시 성동구 금호동1가 1574 
체력단련장업,퍼먼츠 트레이닝 센터,서울특별시 성동구 성수동1가 661-3 3층 
체력단련장업,쓰리짐S,서울특별시 성동구 성수동1가 656-945 
체력단련장업,성수PT,서울특별시 성동구 성수동2가 315-70 세대빌딩 
체력단련장업,에프엠(FM)피트니스,서울특별시 성동구 금호동4가 1091 B2층 
체력단련장업,키스짐,서울특별시 성동구 금호동2가 448 김약국 
체력단련장업,더블와이짐 헬스&PT 신금호점,서울특별시 성동구 금호동2가 326 금호빌딩 지하1층 
체력단련장업,주식회사 소마피지오,서울특별시 성동구 성수동2가 284-9 성수빌딩 4층 
체력단련장업,업타운휘트니스 왕십리점,서울특별시 성동구 행당동 140 행당동 레몬프라자 B2층 
체력단련장업,크로스핏 성수,서울특별시 성동구 성수동2가 272-35 지하1층 
체력단련장업,주식회사 온플릭휘트니스한남옥수점,서울특별시 성동구 옥수동 100 옥수하이츠아파트
체력단련장업,아이엠바디(IMBODY),서울특별시 성동구 옥수동 436 극동그린아파트
체력단련장업,비트인서울,서울특별시 성동구 홍익동 296 세영빌딩
